Year,Category,Name,Birthdate,Birth Place,Country,Residence,Role/Affiliate,Field/Language,Prize Name,Motivation
1981,medicine,Torsten N. Wiesel,03-Jun-24,Uppsala,Sweden,No Data," Harvard Medical School, Boston, MA, USA",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1981 was divided, one half awarded to Roger W. Sperry for his discoveries concerning the functional specialization of the cerebral hemispheres,the other half jointly to David H. Hubel and Torsten N. Wiesel for their discoveries concerning information processing in the visual system."
1981,peace,Office of the United Nations High Commissioner for Refugees (UNHCR),1951 in Geneva,No Data,Switzerland,No Data, An international aid organization established by the UN, Humanitarian work,The Nobel Peace Prize,The Nobel Peace Prize 1981 was awarded to Office of the United Nations High Commissioner for Refugees.
1981,physics,Arthur Leonard Schawlow,05-May-21,Mount Verno NY,USA,No Data," Stanford University, Stanford, CA, USA"," Optical physics, quantum electrodynamics",The Nobel Prize in Physics,"The Nobel Prize in Physics 1981 was divided, one half jointly to Nicolaas Bloembergen and Arthur Leonard Schawlow for their contribution to the development of laser spectroscopy and the other half to Kai M. Siegbahn for his contribution to the development of high-resolution electron spectroscopy."
1981,physics,Kai M. Siegbahn,20-Apr-18,Lund,Sweden,No Data," Uppsala University, Uppsala, Sweden", Atomic physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1981 was divided, one half jointly to Nicolaas Bloembergen and Arthur Leonard Schawlow for their contribution to the development of laser spectroscopy and the other half to Kai M. Siegbahn for his contribution to the development of high-resolution electron spectroscopy."
1981,physics,Nicolaas Bloembergen,11-Mar-20,Dordrecht,the Netherlands,No Data," Harvard University, Cambridge, MA, USA"," Optical physics, quantum electrodynamics",The Nobel Prize in Physics,"The Nobel Prize in Physics 1981 was divided, one half jointly to Nicolaas Bloembergen and Arthur Leonard Schawlow for their contribution to the development of laser spectroscopy and the other half to Kai M. Siegbahn for his contribution to the development of high-resolution electron spectroscopy."
1982,chemistry,Aaron Klug,11-Aug-26,Zelvas,Lithuania,No Data," MRC Laboratory of Molecular Biology, Cambridge, United Kingdom"," Biochemistry, structural chemistry",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1982 was awarded to Aaron Klug for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes.
1982,economics,George J. Stigler,17-Jan-11,Renton WA,USA,No Data," University of Chicago, Chicago, IL, USA", Industrial organization,The Prize in Economic Sciences,"The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1982 was awarded to George J. Stigler for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation."
1982,literature,Gabriel García Márquez,06-Mar-28,Aracataca,Colombia,Colombia,No Data, Spanish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1982 was awarded to Gabriel García Márquez for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts."
1982,medicine,Bengt I. Samuelsson,21-May-34,Halmstad,Sweden,No Data," Karolinska Institutet, Stockholm, Sweden",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1982 was awarded jointly to Sune K. Bergström, Bengt I. Samuelsson and John R. Vane for their discoveries concerning prostaglandins and related biologically active substances."
1982,medicine,John R. Vane,29-Mar-27,Tardebigg,United Kingdom,No Data," The Wellcome Research Laboratories, Beckenham, United Kingdom",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1982 was awarded jointly to Sune K. Bergström, Bengt I. Samuelsson and John R. Vane for their discoveries concerning prostaglandins and related biologically active substances."
1982,medicine,Sune K. Bergström,10-Jan-16,Stockholm,Sweden,No Data," Karolinska Institutet, Stockholm, Sweden",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1982 was awarded jointly to Sune K. Bergström, Bengt I. Samuelsson and John R. Vane for their discoveries concerning prostaglandins and related biologically active substances."
1982,peace,Alfonso García Robles,20-Mar-11,Zamora,Mexico,Mexico," former Secretary for Foreign Affairs, delegate to the United Nations General Assembly on Disarmament, Diplomat", Arms control and disarmament,The Nobel Peace Prize,The Nobel Peace Prize 1982 was awarded jointly to Alva Myrdal and Alfonso García Robles
1982,peace,Alva Myrdal,31-Jan-02,Uppsala,Sweden,Sweden," Writer, Diplomat, former Cabinet Minister", Arms control and disarmament,The Nobel Peace Prize,The Nobel Peace Prize 1982 was awarded jointly to Alva Myrdal and Alfonso García Robles
1982,physics,Kenneth G. Wilson,08-Jun-36,Waltham MA,USA,No Data," Cornell University, Ithaca, NY, USA"," Condensed matter physics, critical phenomena",The Nobel Prize in Physics,The Nobel Prize in Physics 1982 was awarded to Kenneth G. Wilson for his theory for critical phenomena in connection with phase transitions.
1983,chemistry,Henry Taube,30-Nov-15,Neudorf,Canada,No Data," Stanford University, Stanford, CA, USA"," Physical chemistry, inorganic chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1983 was awarded to Henry Taube for his work on the mechanisms of electron transfer reactions, especially in metal complexes."
1983,economics,Gerard Debreu,04-Jul-21,Calais,France,No Data," University of California, Berkeley, CA, USA", General equilibrium theory,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1983 was awarded to Gerard Debreu for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium.
1983,literature,William Golding,19-Sep-11,St. Columb Minor,United Kingdom,United Kingdom,No Data, English,The Nobel Prize in Literature,"The Nobel Prize in Literature 1983 was awarded to William Golding for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today."
1983,medicine,Barbara McClintock,16-Jun-02,Hartford CT,USA,No Data," Cold Spring Harbor Laboratory, Cold Spring Harbor, NY, USA",No Data,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1983 was awarded to Barbara McClintock for her discovery of mobile genetic elements.
1983,peace,Lech Walesa,29-Sep-43,Popowo,Poland,Poland, Trade union leader (Solidaritet), Human rights,The Nobel Peace Prize,The Nobel Peace Prize 1983 was awarded to Lech Walesa.
1983,physics,Subramanyan Chandrasekhar,19-Oct-10,Lahore,India (now Pakistan),No Data," University of Chicago, Chicago, IL, USA", Astrophysics,The Nobel Prize in Physics,The Nobel Prize in Physics 1983 was divided equally between Subramanyan Chandrasekhar for his theoretical studies of the physical processes of importance to the structure and evolution of the stars and William Alfred Fowler for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe.
1983,physics,William Alfred Fowler,09-Aug-11,Pittsburgh PA,USA,No Data," California Institute of Technology (Caltech), Pasadena, CA, USA", Astrophysics,The Nobel Prize in Physics,The Nobel Prize in Physics 1983 was divided equally between Subramanyan Chandrasekhar for his theoretical studies of the physical processes of importance to the structure and evolution of the stars and William Alfred Fowler for his theoretical and experimental studies of the nuclear reactions of importance in the formation of the chemical elements in the universe.
1984,chemistry,Robert Bruce Merrifield,15-Jul-21,Fort Worth TX,USA,No Data," Rockefeller University, New York, NY, USA", Biochemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1984 was awarded to Bruce Merrifield for his development of methodology for chemical synthesis on a solid matrix.
1984,economics,Richard Stone,30-Aug-13,London,United Kingdom,No Data," University of Cambridge, Cambridge, United Kingdom", National income accounting,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1984 was awarded to Richard Stone for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis.
1984,literature,Jaroslav Seifert,23-Sep-01,Prague,Austria-Hungary (now Czech Republic),Czechoslovakia,No Data, Czech,The Nobel Prize in Literature,"The Nobel Prize in Literature 1984 was awarded to Jaroslav Seifert for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man."
1984,medicine,César Milstein,08-Oct-27,Bahia Blanca,Argentina,No Data," MRC Laboratory of Molecular Biology, Cambridge, United Kingdom",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1984 was awarded jointly to Niels K. Jerne, Georges J.F. Köhler and César Milstein for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies."
1984,medicine,Georges J.F. Köhler,17-Apr-46,Munich,Germany,No Data," Basel Institute for Immunology, Basel, Switzerland",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1984 was awarded jointly to Niels K. Jerne, Georges J.F. Köhler and César Milstein for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies."
1984,medicine,Niels K. Jerne,23-Dec-11,London,United Kingdom,No Data," Basel Institute for Immunology, Basel, Switzerland",No Data,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1984 was awarded jointly to Niels K. Jerne, Georges J.F. Köhler and César Milstein for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies."
1984,peace,Desmond Mpilo Tutu,07-Oct-31,Klerksdorp,South Africa,South Africa," former Secretary General, South African Council of Churches (S.A.C.C.), Bishop of Johannesburg", Human rights,The Nobel Peace Prize,The Nobel Peace Prize 1984 was awarded to Desmond Tutu.
1984,physics,Carlo Rubbia,31-Mar-34,Gorizia,Italy,No Data," CERN, Geneva, Switzerland", Experimental particel physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1984 was awarded jointly to Carlo Rubbia and Simon van der Meer for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"
1984,physics,Simon van der Meer,24-Nov-25,the Hague,the Netherlands,No Data," CERN, Geneva, Switzerland", Experimental particel physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1984 was awarded jointly to Carlo Rubbia and Simon van der Meer for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"
1985,chemistry,Herbert A. Hauptman,14-Feb-17,New York NY,USA,No Data," The Medical Foundation of Buffalo, Buffalo, NY, USA"," Physical chemistry, structural chemistry",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1985 was awarded jointly to Herbert A. Hauptman and Jerome Karle for their outstanding achievements in the development of direct methods for the determination of crystal structures
1985,chemistry,Jerome Karle,18-Jun-18,New York NY,USA,No Data," US Naval Research Laboratory, Washington, DC, USA"," Physical chemistry, structural chemistry",The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1985 was awarded jointly to Herbert A. Hauptman and Jerome Karle for their outstanding achievements in the development of direct methods for the determination of crystal structures
